name	state_id	postcode	latitude	longitude	variant_name	status
BRISBANE CITY	QLD		-2.7467779159999999e+01	1.5302610780000001e+02	CITY	O
BALD HILLS	QLD		-2.7308332440000001e+01	1.5301222229999999e+02		O
WAVELL HEIGHTS	QLD		-2.7392778400000001e+01	1.5304695129999999e+02		O
KEDRON	QLD		-2.7404167180000002e+01	1.5303193659999999e+02		O
BERRINBA (LOGAN CITY)	QLD		-2.7655556000000001e+01	1.5307777400000001e+02		O
CHANDLER	QLD		-2.7516666000000001e+01	1.5318556200000000e+02		O
WILLAWONG	QLD		-2.7594168000000000e+01	1.5300471500000000e+02		O
PALLARA	QLD		-2.7620833999999999e+01	1.5300500500000001e+02		O
LARAPINTA	QLD		-2.7640833000000001e+01	1.5300639300000000e+02		O
HEATHWOOD	QLD		-2.7641110999999999e+01	1.5299055500000000e+02		O
DOOLANDELLA	QLD		-2.7612777999999999e+01	1.5298638900000000e+02		O
ACACIA RIDGE	QLD		-2.7585834999999999e+01	1.5302610799999999e+02		O
ROWES BAY	QLD		-1.9242500310000000e+01	1.4677694700000001e+02		O
GARBUTT	QLD		-1.9262777329999999e+01	1.4676583860000000e+02		O
MAIN BEACH	QLD		-2.7962501530000001e+01	1.5342611690000001e+02		O
WEST ROCKHAMPTON	QLD		-2.3387501000000000e+01	1.5048138399999999e+02		O
WANDAL	QLD		-2.3371110999999999e+01	1.5049389600000001e+02		O
THE RANGE	QLD		-2.3395000000000000e+01	1.5049528500000000e+02		O
THE COMMON	QLD		-2.3382500000000000e+01	1.5053193700000000e+02		O
ROCKHAMPTON CITY	QLD		-2.3381111000000001e+01	1.5050778199999999e+02		O
PORT CURTIS	QLD		-2.3419722000000000e+01	1.5054055800000000e+02		O
PARKHURST	QLD		-2.3307499000000000e+01	1.5050582900000001e+02		O
PARK AVENUE	QLD		-2.3356945000000000e+01	1.5051138300000000e+02		O
NORMAN GARDENS	QLD		-2.3327501000000002e+01	1.5053556800000001e+02		O
MOUNT ARCHER	QLD		-2.3330002000000000e+01	1.5058027600000000e+02		O
LIMESTONE CREEK	QLD		-2.3288332000000000e+01	1.5056527700000001e+02		O
LAKES CREEK	QLD		-2.3374165999999999e+01	1.5057138100000000e+02		O
KOONGAL	QLD		-2.3369444000000001e+01	1.5054834000000000e+02		O
KAWANA	QLD		-2.3337778000000000e+01	1.5050528000000000e+02		O
FRENCHVILLE	QLD		-2.3349167000000001e+01	1.5054888900000000e+02		O
FAIRY BOWER	QLD		-2.3404722000000000e+01	1.5046472199999999e+02		O
DEPOT HILL	QLD		-2.3394722000000002e+01	1.5051944000000000e+02		O
BERSERKER	QLD		-2.3365278000000000e+01	1.5052777100000000e+02		O
ALLENSTOWN	QLD		-2.3396667000000001e+01	1.5050416600000000e+02		O
THE GAP (BRISBANE CITY)	QLD		-2.7441669999999998e+01	1.5294443999999999e+02		O
NEWSTEAD	QLD		-2.7453611370000001e+01	1.5304417419999999e+02		O
TENERIFFE	QLD		-2.7457223890000002e+01	1.5304501339999999e+02		O
AUGUSTINE HEIGHTS	QLD		-2.7660554890000000e+01	1.5288305660000000e+02		O
TARINGA	QLD		-2.7492778779999998e+01	1.5298445129999999e+02		O
ST LUCIA	QLD		-2.7498332980000001e+01	1.5300944519999999e+02		O
MOUNT COOT-THA	QLD		-2.7473333360000002e+01	1.5295111080000001e+02		O
MILTON	QLD		-2.7467779159999999e+01	1.5300666810000001e+02		O
AUCHENFLOWER	QLD		-2.7473333360000002e+01	1.5299389650000001e+02		O
CARINDALE	QLD		-2.7510278700000001e+01	1.5311250310000000e+02		O
YATALA	QLD		-2.7751111980000001e+01	1.5321749879999999e+02		O
WORONGARY	QLD		-2.8041666029999998e+01	1.5333776860000000e+02		O
VARSITY LAKES	QLD		-2.8089166639999998e+01	1.5341166690000000e+02		O
UPPER COOMERA	QLD		-2.7880001069999999e+01	1.5328611760000001e+02		O
TUGUN	QLD		-2.8148889539999999e+01	1.5349362180000000e+02		O
TALLEBUDGERA	QLD		-2.8148889539999999e+01	1.5342056270000000e+02		O
TALLAI	QLD		-2.8067779540000000e+01	1.5333027650000000e+02		O
SURFERS PARADISE	QLD		-2.8000000000000000e+01	1.5342445369999999e+02		O
SOUTHPORT	QLD		-2.7973611829999999e+01	1.5340470890000000e+02		O
RUNAWAY BAY	QLD		-2.7914165499999999e+01	1.5340054319999999e+02		O
ROBINA	QLD		-2.8070835110000001e+01	1.5339500430000001e+02		O
REEDY CREEK	QLD		-2.8114444729999999e+01	1.5340332029999999e+02		O
PIMPAMA	QLD		-2.7816110609999999e+01	1.5331777950000000e+02		O
PARKWOOD	QLD		-2.7954723359999999e+01	1.5336445620000001e+02		O
PARADISE POINT	QLD		-2.7880277629999998e+01	1.5339639280000000e+02		O
PALM BEACH	QLD		-2.8116945269999999e+01	1.5346583559999999e+02		O
PACIFIC PINES	QLD		-2.7940277099999999e+01	1.5331666559999999e+02		O
OXENFORD	QLD		-2.7906110760000001e+01	1.5330389400000001e+02		O
ORMEAU	QLD		-2.7775554660000001e+01	1.5325305180000001e+02		O
NERANWOOD	QLD		-2.8117221829999998e+01	1.5331195070000001e+02		O
