region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
UCL322047,47,1018,358,155,675,1.1,609,2.2
UCL322048,40,1345,650,280,1615,1.1,1437,3.0
UCL322049,44,1975,754,290,1708,1.1,1571,2.6
UCL322050,30,1118,514,210,1066,1.1,991,2.6
UCL322051,48,2100,505,240,921,1.2,930,2.2
UCL322052,48,1083,390,125,1031,1.0,745,2.3
UCL322053,26,0,390,50,1303,1.4,772,3.6
UCL322054,33,1351,482,235,1268,1.1,1125,2.9
UCL322055,56,1950,449,200,946,1.1,850,2.1
UCL322056,22,0,293,85,791,1.3,744,3.6
UCL322057,44,1358,383,205,907,1.1,706,2.3
UCL322058,20,0,316,75,733,1.5,1010,4.3
UCL322059,41,737,643,150,1262,1.1,1199,2.3
UCL322060,36,1307,742,130,1312,1.1,972,2.1
UCL322061,34,895,651,200,1262,1.1,1385,2.8
UCL322062,48,1138,415,185,883,1.1,650,2.2
UCL322063,58,1517,466,200,758,1.1,712,2.0
UCL322064,46,995,339,170,763,1.2,592,2.2
UCL322065,51,1517,343,180,724,1.1,588,1.9
UCL322066,26,0,297,113,1019,1.4,1146,3.9
UCL322067,35,1300,376,288,883,1.1,729,2.8
UCL322068,58,1300,483,180,954,1.1,829,2.1
UCL322069,60,765,335,170,690,1.1,569,1.7
UCL322070,20,0,332,95,900,1.5,1233,5.5
UCL322071,30,0,293,53,845,1.4,872,3.3
UCL322072,24,0,332,64,858,1.4,909,3.7
UCL322073,32,1300,584,225,1542,1.2,1270,2.9
UCL322074,29,1560,648,225,1406,1.1,1194,2.9
UCL322075,49,2100,479,210,931,1.1,900,2.4
UCL322076,42,859,384,175,693,1.1,663,2.0
UCL322077,43,1257,500,150,1514,1.1,966,2.3
UCL322078,49,1443,432,210,1239,1.1,1029,2.3
UCL322079,39,1170,363,170,643,1.3,500,2.5
UCL322080,42,1733,675,300,1555,1.1,1451,2.9
UCL322081,42,1000,527,155,1750,1.1,1483,2.6
UCL322082,42,1918,745,250,1687,1.1,1383,2.3
UCL322083,47,1350,367,58,850,1.2,900,2.1
UCL322084,35,1387,484,205,1215,1.1,942,2.5
UCL322085,33,1300,473,220,1516,1.1,1303,3.2
UCL322086,50,1193,423,145,1166,1.0,850,2.4
UCL322087,35,1950,993,300,2200,1.2,1957,2.6
UCL322088,21,0,314,50,646,1.6,789,3.4
UCL322089,43,1296,576,230,1171,1.1,1075,2.4
UCL322090,45,1980,612,250,1125,1.2,1031,2.6
UCL322091,59,823,356,180,827,1.1,643,2.0
UCL322092,44,1450,419,320,1116,1.1,991,2.8
UCL322093,36,1842,584,255,1666,1.1,1260,3.1
UCL322094,48,1300,488,220,1178,1.1,890,2.0
